,State,County,Tract,Number of families,Number of families below poverty line,Vacancy,Coastal Flooding Risk Score,Percent below poverty line,Family median income,Housing Cost,At Risk
266,Florida,Broward,104.02,891,34.0,1130,0.0,3.8,65775.0,682.0,0
267,Florida,Broward,104.03,1048,87.0,3371,0.0,8.3,57692.0,667.0,0
268,Florida,Broward,104.05,2261,385.0,259,0.0,17.0,56135.0,1558.0,0
269,Florida,Broward,104.06,1040,76.0,235,0.0,7.3,80962.0,1785.0,0
270,Florida,Broward,104.07,1577,234.0,420,0.0,14.8,67054.0,1652.0,0
271,Florida,Broward,105.02,751,10.0,74,0.0,1.2,117292.0,2360.0,0
272,Florida,Broward,105.03,5773,306.0,467,0.0,5.3,223274.0,3846.0,0
273,Florida,Broward,105.04,1389,27.0,141,0.0,1.9,127422.0,2487.0,0
274,Florida,Broward,106.01,2129,37.0,113,0.0,1.7,163992.0,2822.0,0
275,Florida,Broward,106.03,1512,40.0,61,0.0,2.6,146557.0,2465.0,0
276,Florida,Broward,106.04,1078,0.0,45,0.0,0.0,117895.0,1948.0,0
277,Florida,Broward,106.05,1984,90.0,44,0.0,4.5,163377.0,2386.0,0
278,Florida,Broward,106.06,1901,196.0,203,0.0,10.3,107901.0,2085.0,0
279,Florida,Broward,106.09,1322,78.0,170,0.0,5.9,114342.0,1959.0,0
280,Florida,Broward,106.10,1582,46.0,310,0.0,2.9,87222.0,1260.0,0
281,Florida,Broward,106.11,966,0.0,38,0.0,0.0,153472.0,2686.0,0
282,Florida,Broward,106.12,1757,0.0,167,0.0,0.0,140241.0,2292.0,0
283,Florida,Broward,106.13,733,0.0,0,0.0,0.0,99349.0,2220.0,0
284,Florida,Broward,106.14,706,39.0,70,0.0,5.5,86163.0,1897.0,0
285,Florida,Broward,106.15,1278,25.0,0,0.0,1.9,114708.0,2170.0,0
286,Florida,Broward,107.01,1211,95.0,458,0.0,7.8,64089.0,1190.0,0
287,Florida,Broward,107.02,2170,228.0,385,87.79555507016873,10.5,58160.0,1289.0,0
288,Florida,Broward,108,1660,166.0,89,87.90476710533501,10.0,69938.0,1793.0,0
289,Florida,Broward,109.01,545,22.0,304,82.27761699339267,3.9,147679.0,1526.0,0
290,Florida,Broward,109.02,955,46.0,302,0.0,4.8,101705.0,1382.0,0
291,Florida,Broward,110,646,19.0,1248,71.99530388248785,2.8,109750.0,1899.0,0
292,Florida,Broward,201.01,1987,243.0,336,0.0,12.2,74848.0,1456.0,0
293,Florida,Broward,201.03,1463,138.0,447,0.0,9.4,61985.0,1246.0,0
294,Florida,Broward,201.04,597,0.0,19,0.0,0.0,71830.0,1369.0,0
